Recommended Course,"How much do you enjoy subjects like Math and Science? (0 = Not at all, 5 = Very much)","How interested are you in pursuing Engineering or Technical fields? (0 = Not interested, 5 = Very interested)","How comfortable are you with using computers and technology? (0 = Not comfortable, 5 = Very comfortable)","Do you prefer hands-on practical work over theoretical study? (0 = Strongly disagree, 5 = Strongly agree)","How much do you enjoy working with numbers and solving mathematical problems? (0 = Not at all, 5 = Very much)","Are you interested in learning about business operations and finance? (0 = Not interested, 5 = Very interested)","How much do you enjoy designing and creating things? (0 = Not at all, 5 = Very much)","How interested are you in healthcare and wellness fields? (0 = Not interested, 5 = Very interested)","Do you enjoy working with machines and understanding how they function? (0 = Not at all, 5 = Very much)","How interested are you in coding and software development? (0 = Not interested, 5 = Very interested)","Do you enjoy analyzing data and making sense of information? (0 = Not at all, 5 = Very much)","How important is job stability when considering your future career? (0 = Not important, 5 = Very important)","Are you interested in environmental issues and sustainability? (0 = Not interested, 5 = Very interested)","How much do you care about making a positive impact on society? (0 = Not at all, 5 = Very much)","How interested are you in the hospitality and tourism industry? (0 = Not interested, 5 = Very interested)","How passionate are you about media and communication? (0 = Not passionate, 5 = Very passionate)","How much do you enjoy solving complex scientific problems? (0 = Not at all, 5 = Very much)","How interested are you in managing projects or leading teams? (0 = Not interested, 5 = Very interested)","Do you prefer courses that involve a lot of teamwork or group projects? (0 = Strongly disagree, 5 = Strongly agree)","How important is it for you to have the opportunity to work internationally in your career? (0 = Not important, 5 = Very important)","How much do you enjoy practical design and creative arts? (0 = Not at all, 5 = Very much)","Are you interested in studying the life sciences or health sciences? (0 = Not interested, 5 = Very interested)","How much do you value sustainability and green technologies in your career choice? (0 = Not at all, 5 = Very much)","Do you have a strong interest in technology trends like AI and Data Science? (0 = Not interested, 5 = Very interested)","How much do you enjoy exploring cultural and social issues? (0 = Not at all, 5 = Very much)",Recommendation
Common Science Programme,3,2,5,2,2,4,3,1,1,0,3,2,1,3,1,5,2,5,4,3,1,2,3,2,5,"You might consider this course, but explore other options too."
Common Science Programme,2,3,5,4,1,2,5,5,3,2,3,1,5,2,4,2,4,0,2,5,2,4,5,3,0,"You might consider this course, but explore other options too."
Common Science Programme,3,5,2,2,1,1,4,3,1,1,0,2,0,4,1,1,5,1,2,2,3,3,2,0,3,"You might consider this course, but explore other options too."
Common Science Programme,3,1,1,1,3,0,1,3,2,0,0,1,5,2,2,3,0,4,5,3,4,1,1,2,0,This course may not align well with your interests.
Common Science Programme,3,2,2,5,5,0,2,4,0,2,5,4,0,4,5,3,5,2,5,5,2,2,1,5,5,"Recommended course, you may find it interesting."
Common Science Programme,1,1,1,5,1,2,3,3,0,3,5,3,4,3,3,3,0,3,1,5,3,1,0,1,3,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,4,5,3,4,4,0,3,4,3,5,4,1,5,1,0,5,4,4,3,2,5,4,5,0,0,"Recommended course, you may find it interesting."
Diploma in Marine Engineering,4,4,4,4,3,2,5,1,5,5,5,5,3,1,4,5,1,4,0,0,1,2,5,0,2,"Recommended course, you may find it interesting."
Diploma in Marine Engineering,4,5,3,4,0,4,2,0,1,5,5,3,1,1,3,3,3,2,5,3,1,0,4,4,2,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,3,5,3,4,2,5,3,0,1,5,2,4,4,2,0,4,1,3,2,4,0,4,5,1,0,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,5,4,4,2,1,2,3,5,2,5,4,3,5,1,2,0,0,2,3,5,2,0,5,5,1,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,5,5,4,5,2,4,3,1,0,4,3,3,5,2,4,4,4,3,4,3,5,0,4,3,2,"Recommended course, you may find it interesting."
Diploma in Marine Engineering,5,5,4,5,3,1,2,5,4,4,0,2,1,1,2,0,0,2,5,0,3,4,4,2,1,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,4,5,5,5,4,1,2,5,3,4,2,5,2,1,1,1,3,2,2,5,1,0,1,3,5,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,5,4,4,2,1,2,3,5,2,5,4,3,5,1,2,0,0,2,3,5,2,0,5,5,1,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,4,4,0,5,0,2,3,5,5,4,5,0,1,1,2,1,0,2,0,2,5,3,3,4,3,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,5,5,5,5,3,2,2,3,4,5,2,2,1,2,2,1,1,2,3,5,5,2,0,5,4,"Recommended course, you may find it interesting."
Diploma in Marine Engineering,5,4,4,2,1,2,3,5,2,5,4,3,5,1,2,0,0,2,3,5,2,0,5,5,1,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,4,5,2,5,1,1,2,3,0,4,5,2,1,2,2,5,1,4,3,3,2,3,3,4,5,"You might consider this course, but explore other options too."
Diploma in Marine Engineering,4,5,3,5,5,1,2,1,5,4,5,5,2,2,2,2,4,2,3,4,2,4,4,2,4,"Recommended course, you may find it interesting."
Diploma in Marine Engineering,4,4,5,5,3,2,3,5,0,4,5,0,3,2,2,2,5,4,3,0,3,0,4,4,4,"Recommended course, you may find it interesting."
Diploma in Ai and Data Engineering,4,4,3,4,5,5,2,4,4,5,4,3,5,1,2,4,2,2,1,2,5,3,3,5,2,"Recommended course, you may find it interesting."
Diploma in Ai and Data Engineering,0,4,1,5,2,1,2,0,0,5,3,5,4,1,1,4,4,3,3,2,3,3,1,2,0,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,4,0,4,4,0,2,2,4,4,0,2,2,2,3,3,4,3,0,5,3,0,4,2,1,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,4,0,5,2,0,2,3,1,4,3,4,5,1,1,1,4,3,4,0,0,1,2,1,1,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,4,4,4,5,0,3,2,2,1,5,2,5,3,1,3,4,4,3,1,5,2,3,5,0,2,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,5,1,4,5,1,2,2,1,4,3,3,0,2,0,0,1,4,5,5,1,2,2,0,1,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,4,4,5,4,4,5,5,2,0,4,0,2,1,1,3,0,5,3,2,2,5,4,2,1,3,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,1,2,4,5,2,2,4,4,4,3,1,2,1,4,3,2,3,0,2,4,3,0,1,5,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,4,4,1,4,2,5,2,2,2,3,4,2,4,1,4,4,3,3,3,1,2,3,4,4,2,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,4,4,5,1,4,3,2,0,5,4,3,5,2,3,5,3,4,4,4,2,3,0,1,3,"Recommended course, you may find it interesting."
Diploma in Ai and Data Engineering,5,5,2,4,0,2,2,2,3,4,2,4,1,1,3,1,0,4,2,2,4,4,4,2,2,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,4,5,3,5,3,2,3,0,4,4,3,3,0,2,1,1,1,4,0,2,2,5,0,0,2,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,5,4,0,5,4,1,2,1,5,4,2,5,3,2,4,4,4,3,3,5,2,5,4,5,3,"Recommended course, you may find it interesting."
Diploma in Ai and Data Engineering,5,1,2,4,5,2,2,4,4,4,3,1,2,1,4,3,2,3,0,2,4,3,0,1,5,"You might consider this course, but explore other options too."
Diploma in Ai and Data Engineering,4,4,0,4,2,0,2,3,4,4,2,3,2,2,0,5,4,3,3,1,0,4,2,1,2,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,0,3,4,3,4,3,2,2,3,0,2,2,4,1,2,3,4,2,0,2,0,3,1,5,4,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,5,5,4,3,0,3,0,3,0,5,4,1,3,2,4,0,3,0,1,4,3,5,0,3,1,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,3,3,4,2,4,3,5,4,0,2,2,4,3,5,0,3,1,3,2,0,0,0,0,1,1,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,4,5,1,2,0,4,0,3,4,0,1,5,1,4,3,3,3,1,0,0,2,2,5,0,1,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,1,0,2,5,4,1,0,3,0,0,1,1,3,2,5,2,2,1,2,0,1,0,3,3,4,This course may not align well with your interests.
Diploma in Green Building Energy Management,2,1,3,5,2,2,0,5,2,3,4,4,1,4,2,2,2,4,2,2,5,2,3,1,1,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,1,5,2,2,4,3,4,3,3,1,2,0,3,4,1,0,2,3,2,0,2,5,3,3,2,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,1,5,2,0,4,5,0,3,2,3,4,1,0,2,2,3,5,2,2,5,4,0,4,3,5,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,2,4,0,0,3,2,4,3,5,3,3,1,2,0,1,3,1,2,1,2,4,1,3,5,5,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,1,1,5,2,4,0,3,5,2,5,3,3,3,2,3,3,0,4,2,5,0,3,0,1,3,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,4,0,0,2,0,3,0,2,0,2,1,0,3,4,5,2,0,3,2,0,5,3,0,4,4,This course may not align well with your interests.
Diploma in Green Building Energy Management,1,5,2,2,4,3,4,3,3,1,2,0,3,4,1,0,2,3,2,0,2,5,3,3,2,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,0,0,4,1,4,5,4,4,3,4,3,4,2,2,2,5,0,4,3,2,3,0,2,0,0,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,1,1,5,2,4,0,3,5,2,5,3,3,3,2,3,3,0,4,2,5,0,3,0,1,3,"You might consider this course, but explore other options too."
Diploma in Green Building Energy Management,5,5,4,3,0,3,0,3,0,5,4,1,3,2,4,0,3,0,1,4,3,5,0,3,1,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,1,5,2,5,2,1,3,4,0,3,4,4,3,2,5,0,4,5,1,2,0,5,3,5,0,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,0,3,5,0,0,2,4,4,3,3,2,2,4,1,1,0,3,0,5,3,3,2,0,5,5,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,1,0,2,3,2,4,0,2,4,2,4,5,1,0,0,0,3,4,1,5,0,0,1,2,3,This course may not align well with your interests.
Diploma in Infocomm and Security,2,1,1,1,2,0,1,4,5,5,2,0,0,1,1,2,4,3,4,1,5,5,5,1,3,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,5,4,2,1,0,0,0,1,1,1,1,0,1,2,1,4,4,5,0,0,3,1,1,1,2,This course may not align well with your interests.
Diploma in Infocomm and Security,5,0,4,0,5,3,2,2,4,5,4,1,1,4,2,1,3,1,5,5,1,4,5,2,0,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,2,1,3,0,5,0,2,1,4,4,4,5,2,4,1,4,4,0,0,2,4,0,1,5,1,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,4,3,3,5,0,5,3,2,3,3,5,0,2,4,1,4,5,0,2,2,1,1,2,0,5,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,2,0,4,5,3,2,5,1,4,5,2,3,5,3,2,5,3,3,1,3,5,5,4,2,1,"Recommended course, you may find it interesting."
Diploma in Infocomm and Security,4,3,2,3,4,2,1,2,5,3,0,2,3,1,1,5,5,0,2,3,4,3,4,1,4,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,1,0,2,3,2,4,0,2,4,2,4,5,1,0,0,0,3,4,1,5,0,0,1,2,3,This course may not align well with your interests.
Diploma in Infocomm and Security,5,0,4,3,5,4,0,3,2,5,1,0,3,5,0,5,2,1,1,1,5,2,4,5,0,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,1,0,2,3,2,4,0,2,4,2,4,5,1,0,0,0,3,4,1,5,0,0,1,2,3,This course may not align well with your interests.
Diploma in Infocomm and Security,1,4,4,3,3,5,3,4,1,1,5,0,5,4,1,2,1,5,0,1,5,5,2,4,0,"You might consider this course, but explore other options too."
Diploma in Infocomm and Security,4,3,3,5,0,5,3,2,3,3,5,0,2,4,1,4,5,0,2,2,1,1,2,0,5,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,3,3,2,5,5,3,4,0,1,2,1,3,3,2,0,0,1,2,5,1,1,1,2,1,4,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,5,4,5,5,2,5,5,2,4,5,0,3,0,0,4,1,2,1,5,5,2,2,1,0,1,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,5,0,5,5,4,4,0,0,3,2,3,3,1,1,5,3,3,1,2,5,3,0,0,5,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,1,0,5,1,0,2,3,2,4,3,2,0,2,5,2,2,5,0,2,5,2,5,4,3,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,3,1,1,5,3,3,5,2,5,5,5,2,0,3,1,5,5,2,2,1,2,0,1,5,4,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,2,0,5,4,2,5,3,2,2,0,3,3,1,3,5,3,3,0,5,1,0,2,5,0,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,3,3,0,5,0,1,5,1,2,1,3,2,0,2,1,4,2,5,3,3,4,4,5,3,0,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,0,3,4,5,4,0,5,0,5,5,1,3,5,2,5,3,1,4,4,4,2,0,4,3,4,"Recommended course, you may find it interesting."
Diploma in Product and Industrial Design,3,2,4,5,1,0,5,5,2,3,3,3,1,1,2,3,3,4,3,5,4,2,3,2,4,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,5,1,4,5,3,3,4,1,0,2,4,3,4,0,4,5,4,1,2,0,3,1,0,4,5,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,1,4,5,0,1,5,0,2,2,5,2,4,3,0,5,4,0,0,4,1,0,3,1,1,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,1,4,5,0,1,5,0,2,2,5,2,4,3,0,5,4,0,0,4,1,0,3,1,1,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,2,1,5,0,0,5,2,1,3,3,3,1,1,3,3,0,5,0,2,2,0,4,0,1,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,5,4,5,5,2,5,5,2,4,5,0,3,0,0,4,1,2,1,5,5,2,2,1,0,1,"You might consider this course, but explore other options too."
Diploma in Product and Industrial Design,4,0,4,5,1,5,5,4,4,0,3,2,5,1,4,3,0,3,1,2,5,0,4,2,1,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,3,5,2,5,1,2,4,4,5,5,3,2,0,2,2,4,5,3,3,0,4,0,4,4,4,"Recommended course, you may find it interesting."
Diploma in Landscape Design and Horticulture,5,2,1,5,3,3,4,5,4,5,2,3,5,1,1,0,2,2,1,0,0,4,1,5,3,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,3,1,5,3,2,5,1,4,2,0,3,3,1,1,4,3,3,4,2,3,3,5,5,3,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,3,2,5,5,3,2,5,4,1,2,2,1,3,5,4,4,5,3,2,2,4,1,0,0,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,1,0,5,5,5,1,5,5,4,5,2,2,1,0,3,1,5,5,0,5,0,2,0,1,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,0,1,4,4,2,4,5,4,2,5,3,2,1,3,3,5,0,3,4,0,2,1,4,5,4,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,5,4,4,5,1,1,5,0,4,0,1,3,0,1,3,2,0,0,1,5,1,5,2,1,0,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,5,1,3,5,1,5,4,4,1,1,3,3,0,2,0,0,2,3,5,4,4,0,2,5,5,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,5,4,3,5,2,2,4,0,3,1,3,2,4,2,3,4,3,1,2,0,1,5,0,1,0,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,3,3,3,5,3,1,4,3,3,4,0,2,5,2,3,5,5,4,2,4,4,4,5,4,3,"Recommended course, you may find it interesting."
Diploma in Landscape Design and Horticulture,3,3,3,5,3,1,4,3,3,4,0,2,5,2,3,5,5,4,2,4,4,4,5,4,3,"Recommended course, you may find it interesting."
Diploma in Landscape Design and Horticulture,0,1,4,4,2,4,5,4,2,5,3,2,1,3,3,5,0,3,4,0,2,1,4,5,4,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,4,4,5,2,4,5,3,0,2,2,3,1,2,3,4,0,4,1,1,2,1,2,3,4,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,4,4,5,2,4,5,3,0,2,2,3,1,2,3,4,0,4,1,1,2,1,2,3,4,"You might consider this course, but explore other options too."
Diploma in Landscape Design and Horticulture,4,4,5,5,2,4,4,5,1,0,1,2,2,3,2,0,4,2,0,0,3,2,2,3,4,"You might consider this course, but explore other options too."
Common Business Programme,2,4,4,1,4,5,1,2,3,5,3,4,4,5,0,0,0,4,5,4,1,2,4,3,4,"You might consider this course, but explore other options too."
Common Business Programme,4,1,4,2,5,4,0,4,2,1,5,5,4,4,3,1,0,2,0,2,3,4,2,1,0,"You might consider this course, but explore other options too."
Common Business Programme,4,2,2,1,4,4,1,4,3,5,0,5,4,5,5,0,1,1,1,0,5,2,0,0,0,"You might consider this course, but explore other options too."
Common Business Programme,4,1,4,2,5,4,0,4,2,1,5,5,4,4,3,1,0,2,0,2,3,4,2,1,0,"You might consider this course, but explore other options too."
Common Business Programme,3,3,4,2,1,4,5,3,5,0,2,2,3,3,2,4,1,3,4,4,3,3,4,5,4,"Recommended course, you may find it interesting."
Common Business Programme,4,4,1,2,1,4,4,4,3,0,1,4,4,4,1,2,1,2,4,3,5,1,5,1,1,"You might consider this course, but explore other options too."
Common Business Programme,4,3,3,2,5,4,5,2,0,1,5,4,1,2,5,0,4,2,4,1,2,1,0,5,1,"You might consider this course, but explore other options too."
Common Business Programme,3,5,0,1,1,4,1,4,1,3,0,5,2,2,3,0,4,3,4,5,3,0,5,5,0,"You might consider this course, but explore other options too."
Common Business Programme,2,4,4,1,4,5,1,2,3,5,3,4,4,5,0,0,0,4,5,4,1,2,4,3,4,"You might consider this course, but explore other options too."
Common Business Programme,4,0,4,1,5,5,0,4,3,5,4,5,5,4,3,5,3,3,5,4,5,4,3,5,4,"Recommended course, you may find it interesting."
Common Business Programme,4,1,1,2,5,1,1,4,0,1,2,4,1,4,0,0,2,4,4,2,4,5,4,0,2,"You might consider this course, but explore other options too."
Common Business Programme,4,5,5,1,2,4,3,1,3,0,0,4,0,4,4,4,2,4,5,3,3,3,1,4,2,"You might consider this course, but explore other options too."
Common Business Programme,4,0,4,1,5,5,0,4,3,5,4,5,5,4,3,5,3,3,5,4,5,4,3,5,4,"Recommended course, you may find it interesting."
Common Business Programme,4,5,5,1,2,4,3,1,3,0,0,4,0,4,4,4,2,4,5,3,3,3,1,4,2,"You might consider this course, but explore other options too."
Common Business Programme,4,3,2,2,1,5,5,1,2,0,4,5,1,4,1,3,4,2,0,0,0,2,1,0,2,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,4,2,4,1,1,4,3,4,2,2,2,5,1,3,4,3,4,3,5,3,4,0,5,0,2,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,2,3,3,2,2,5,5,3,4,4,1,5,2,1,5,2,1,4,4,4,5,1,2,0,0,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,5,0,2,4,2,4,3,4,1,2,3,4,1,4,2,1,4,3,1,0,1,5,0,1,2,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,2,0,5,2,5,5,4,1,1,2,2,5,2,1,1,4,5,2,2,2,5,0,0,4,0,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,4,0,5,1,1,4,2,0,2,2,3,5,3,2,1,1,5,4,3,0,0,4,5,5,3,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,2,2,4,2,0,5,5,0,3,0,3,4,4,2,3,3,3,4,1,0,3,1,1,0,3,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,3,2,3,2,0,4,5,0,5,3,0,4,1,4,3,3,1,2,4,2,5,1,2,4,4,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,2,4,2,2,2,4,0,4,4,5,5,5,5,5,4,4,0,3,1,2,4,4,4,0,2,"Recommended course, you may find it interesting."
Diploma in Business and Financial Technology,2,3,3,1,5,4,2,0,3,4,1,4,4,5,0,5,3,4,5,1,0,5,4,0,5,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,3,1,4,1,2,4,0,3,0,1,5,4,1,4,4,5,5,3,0,2,3,4,3,3,5,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,4,5,0,1,2,4,5,1,5,2,4,4,3,1,1,0,0,3,2,0,0,5,2,5,2,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,3,4,2,1,1,5,5,1,4,4,1,5,2,0,4,3,2,4,5,3,5,1,0,0,4,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,2,2,1,2,2,4,5,1,1,4,0,4,2,5,5,4,2,2,1,2,3,5,3,1,1,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,4,2,2,2,1,4,4,2,2,5,1,5,4,4,2,0,0,4,3,0,4,3,3,5,0,"You might consider this course, but explore other options too."
Diploma in Business and Financial Technology,3,5,3,1,5,4,2,4,2,1,2,4,2,1,2,1,0,2,3,4,3,4,3,1,4,"You might consider this course, but explore other options too."
Diploma in Data Science,4,3,1,4,2,2,3,4,1,0,1,5,3,0,2,5,5,2,5,0,2,4,1,2,0,"You might consider this course, but explore other options too."
Diploma in Data Science,2,0,2,5,3,2,0,0,2,4,3,1,4,1,3,4,4,3,2,2,1,5,4,5,5,"You might consider this course, but explore other options too."
Diploma in Data Science,3,1,0,5,5,0,5,5,4,4,2,5,5,0,3,2,4,0,2,5,2,3,3,2,4,"You might consider this course, but explore other options too."
Diploma in Data Science,0,2,3,1,1,4,5,0,3,0,1,4,1,0,1,5,2,1,4,2,2,1,2,5,1,"You might consider this course, but explore other options too."
Diploma in Data Science,1,3,1,0,1,3,0,5,3,4,2,0,1,1,2,2,4,4,2,5,0,5,4,0,3,"You might consider this course, but explore other options too."
Diploma in Data Science,5,5,0,3,3,5,0,2,5,3,4,1,5,0,0,3,1,5,0,1,5,5,0,5,0,"You might consider this course, but explore other options too."
Diploma in Data Science,4,3,4,3,4,3,2,2,2,2,2,3,2,2,0,2,5,2,1,1,3,5,1,2,4,"You might consider this course, but explore other options too."
Diploma in Data Science,0,0,4,5,3,5,3,3,2,4,2,2,2,2,4,1,0,1,3,2,2,5,4,4,0,"You might consider this course, but explore other options too."
Diploma in Data Science,4,4,2,4,3,2,5,3,1,0,1,4,1,2,4,3,1,0,1,2,4,3,1,4,3,"You might consider this course, but explore other options too."
Diploma in Data Science,4,3,1,4,2,2,3,4,1,0,1,5,3,0,2,5,5,2,5,0,2,4,1,2,0,"You might consider this course, but explore other options too."
Diploma in Data Science,3,4,3,5,5,3,2,4,1,4,2,5,4,0,0,3,5,3,2,3,3,0,4,0,3,"You might consider this course, but explore other options too."
Diploma in Data Science,2,3,3,4,2,4,3,2,1,4,0,0,0,5,2,1,0,1,2,4,2,4,3,5,2,"You might consider this course, but explore other options too."
Diploma in Data Science,4,3,1,4,2,2,3,4,1,0,1,5,3,0,2,5,5,2,5,0,2,4,1,2,0,"You might consider this course, but explore other options too."
Diploma in Data Science,1,0,3,4,2,3,0,5,1,2,2,1,0,2,5,4,5,1,2,4,4,2,2,1,2,"You might consider this course, but explore other options too."
Diploma in Data Science,3,4,3,5,5,3,2,4,1,4,2,5,4,0,0,3,5,3,2,3,3,0,4,0,3,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,5,4,4,4,3,3,2,0,4,2,2,1,2,2,5,4,3,2,4,4,5,2,4,2,"Recommended course, you may find it interesting."
Diploma in Engineering Science,4,4,2,5,4,0,3,4,1,4,2,2,3,2,5,3,1,3,2,2,5,3,3,3,0,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,5,5,4,0,1,3,1,2,4,2,4,1,1,1,5,1,2,1,0,4,5,1,5,5,"You might consider this course, but explore other options too."
Diploma in Engineering Science,5,4,1,5,5,0,3,2,2,4,0,2,3,2,0,0,0,4,2,5,3,0,2,2,0,"You might consider this course, but explore other options too."
Diploma in Engineering Science,5,5,3,2,2,4,2,5,4,5,5,2,5,1,3,1,0,2,1,5,4,0,5,0,5,"Recommended course, you may find it interesting."
Diploma in Engineering Science,5,4,3,4,4,4,2,4,3,4,5,0,2,2,1,3,5,4,2,3,4,0,1,2,4,"Recommended course, you may find it interesting."
Diploma in Engineering Science,4,4,1,5,5,2,2,3,1,4,0,3,0,2,2,5,3,2,4,2,0,1,2,5,0,"You might consider this course, but explore other options too."
Diploma in Engineering Science,3,5,1,4,0,1,3,1,3,4,5,2,5,1,3,5,0,2,4,3,2,5,1,4,0,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,4,3,5,2,5,2,4,5,4,3,3,1,3,4,2,3,2,1,3,4,4,3,5,3,"Recommended course, you may find it interesting."
Diploma in Engineering Science,5,5,0,4,3,5,3,4,3,5,4,1,0,1,2,5,1,4,1,2,0,0,2,3,1,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,5,5,4,0,1,3,1,2,4,2,4,1,1,1,5,1,2,1,0,4,5,1,5,5,"You might consider this course, but explore other options too."
Diploma in Engineering Science,5,5,0,4,3,5,3,4,3,5,4,1,0,1,2,5,1,4,1,2,0,0,2,3,1,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,4,2,4,0,4,3,4,4,5,5,3,0,2,3,1,1,3,1,0,5,5,5,3,0,"You might consider this course, but explore other options too."
Diploma in Engineering Science,4,5,2,5,5,5,3,5,3,5,5,3,2,1,4,1,1,4,3,2,0,0,4,3,5,"Recommended course, you may find it interesting."
Diploma in Engineering Science,5,4,2,4,2,1,5,5,4,4,2,3,3,2,0,2,1,4,0,5,3,1,0,4,0,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,2,3,5,1,0,5,3,5,3,4,3,4,0,1,0,3,0,1,2,5,2,3,3,2,0,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,0,2,2,2,3,4,0,2,2,0,3,0,5,5,0,3,5,2,4,2,0,3,3,2,3,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,4,1,4,0,2,1,3,5,4,5,0,2,3,2,2,3,3,5,2,2,5,3,4,2,3,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,1,3,4,2,0,5,4,4,4,4,3,1,2,4,3,3,1,1,2,1,4,5,1,1,0,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,2,3,5,1,0,5,3,5,3,4,3,4,0,1,0,3,0,1,2,5,2,3,3,2,0,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,0,4,4,3,1,1,5,3,0,0,3,2,4,1,3,2,2,2,4,1,2,1,2,2,4,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,3,1,3,0,4,5,2,3,4,5,4,2,4,1,1,5,0,4,4,0,5,2,5,4,2,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,0,4,4,3,1,1,5,3,0,0,3,2,4,1,3,2,2,2,4,1,2,1,2,2,4,"You might consider this course, but explore other options too."
